respondent,partner,frequency,partner_norm,partner_clean,freq_clean
R55,"Premier’s Council on Disabilities
NB Human Rights Commission
Rick Hansen Foundation",Occasionally (a few times a month),premiers council on disabilities nb human rights commission rick hansen foundation,"Premier’s Council on Disabilities
NB Human Rights Commission
Rick Hansen Foundation",Occasionally
R57,Canadian Council of the Blind,Occasionally (a few times a month),canadian council of the blind,Canadian Council of the Blind,Occasionally
R57,Inclusive Design Research Centre,Seldom (once a month or less)  ,inclusive design research centre,Inclusive Design Research Centre,Seldom
R57,Canadian Council of Rehabilitation and Work,Seldom (once a month or less)  ,canadian council of rehabilitation and work,Canadian Council of Rehabilitation and Work,Seldom
R58,TTCriders,Regularly (once a week or more),ttcriders,TTCriders,Regularly
R58,Progress Toronto,Regularly (once a week or more),progress toronto,Progress Toronto,Regularly
R58,Disability Justice Network of Ontario,Occasionally (a few times a month),disability justice network of ontario,Disability Justice Network of Ontario,Occasionally
R59,Inclusive Ed teachers at my school - there are 3 I interacted with weekly for the past few years.,Regularly (once a week or more),inclusive ed teachers at my school - there are 3 i interacted with weekly for the past few years,Inclusive Ed teachers at my school - there are 3 I interacted with weekly for the past few years.,Regularly
R60,"Autism Alliance Canada
Spinal Cord Injury Canada
Brain Injury Canada",Seldom (once a month or less)  ,autism alliance canada spinal cord injury canada brain injury canada,"Autism Alliance Canada
Spinal Cord Injury Canada
Brain Injury Canada",Seldom
R63,Muscular Dystrophy Canada,Seldom (once a month or less)  ,muscular dystrophy canada,Muscular Dystrophy Canada,Seldom
R63,Association québécoise de voile adaptée,Regularly (once a week or more),association québécoise de voile adaptée,Association québécoise de voile adaptée,Regularly
R63,"National Educational Association
of Disabled Students",A few times during the academic year ,national educational association of disabled students,"National Educational Association
of Disabled Students",Occasionally
R65,CNIB,Occasionally (a few times a month),cnib,CNIB,Occasionally
R65,CCB,Seldom (once a month or less)  ,ccb,CCB,Seldom
R65,CDN,Seldom (once a month or less)  ,cdn,CDN,Seldom
R66,"families in the community with adult with ASD that I know.
Partners for Planning
Ottawa Autism group that is trying to collect # and types of needs",Regularly (once a week or more),families in the community with adult with asd that i know partners for planning ottawa autism group that is trying to collect  and types of needs,"families in the community with adult with ASD that I know.
Partners for Planning
Ottawa Autism group that is trying to collect # and types of needs",Regularly
R67,I have been disabled from a motor vehicle accident for 28 years and have used so many advocates here in Alberta but all provincial groups have been di,Regularly (once a week or more),i have been disabled from a motor vehicle accident for 28 years and have used so many advocates here in alberta but all provincial groups have been di,I have been disabled from a motor vehicle accident for 28 years and have used so many advocates here in Alberta but all provincial groups have been di,Regularly
R68,Canadian Centre for Caregiving Excellence,Occasionally (a few times a month),canadian centre for caregiving excellence,Canadian Centre for Caregiving Excellence,Occasionally
R68,Canadian Organization for Rare Disorders,Occasionally (a few times a month),canadian organization for rare disorders,Canadian Organization for Rare Disorders,Occasionally
R68,Ontario Caregiver Coalition,Seldom (once a month or less)  ,ontario caregiver coalition,Ontario Caregiver Coalition,Seldom
R69,Disability Without Poverty,Seldom (once a month or less)  ,disability without poverty,Disability without poverty.,Seldom
R69,Disability Filibuster,,disability filibuster,Disability Filibuster,Unknown
R69,L'Arche,Seldom (once a month or less)  ,l'arche,ARCH,Seldom
R70,"Bc disability 
Canuck place 
Ubc",Seldom (once a month or less)  ,bc disability canuck place ubc,"Bc disability 
Canuck place 
Ubc",Seldom
R71,BC Complex Kids,Seldom (once a month or less)  ,bc complex kids,BC Complex Kids,Seldom
R71,local therapists,Seldom (once a month or less)  ,local therapists,local therapists,Seldom
R73,"Inclusion Canada
Inclusion BC
BC Employment Network",Regularly (once a week or more),inclusion canada inclusion bc bc employment network,"Inclusion Canada
Inclusion BC
BC Employment Network",Regularly
R74,BC Complex Kids Society,Occasionally (a few times a month),bc complex kids society,BC Complex Kids,Occasionally
R77,"BC Disability Collaborative
Autism Alliance of Canada
AutismBC",Seldom (once a month or less)  ,bc disability collaborative autism alliance of canada autismbc,"BC Disability Collaborative
Autism Alliance of Canada
AutismBC",Seldom
R78,ODSP Action Coalition,Occasionally (a few times a month),odsp action coalition,and the ODSP Action Coalition.,Occasionally
R78,Defend Disability,Occasionally (a few times a month),defend disability,Defend Disability,Occasionally
R78,Income Security Advocacy Centre (ISAC (though they are ableist),Past employer,income security advocacy centre isac though they are ableist,Income Security Advocacy Centre (ISAC (though they are ableist),Unknown
Rnan,I do not have a list prepared at this time.,Seldom (once a month or less),i do not have a list prepared at this time,I do not have a list prepared at this time.,Seldom
Rnan,BCANDS,Regularly (once a week or more),bcands,BCANDS,Regularly
Rnan,ARCH,Regularly (once a week or more),arch,ARCH,Regularly
Rnan,the Inclusion Canada federation members (13 provincial/territorial organizations),Regularly (once a week or more),the inclusion canada federation members 13 provincialterritorial organizations,the Inclusion Canada federation members (13 provincial/territorial organizations),Regularly
Rnan,Ministry of Education,Regularly (once a week or more),ministry of education,Ministry of Education,Regularly
Rnan,RWA,Regularly (once a week or more),rwa,RWA,Regularly
Rnan,OPHQ,Seldom (once a month or less),ophq,OPHQ,Seldom
Rnan,Canada research chair in childhood disabilities,Regularly (once a week or more),canada research chair in childhood disabilities,Canada research chair in childhood disabilities,Regularly
Rnan,ARCH disability Law Centre,Occasionally (a few times a month),arch disability law centre,ARCH disability Law Centre,Occasionally
Rnan,parent and patient partners,,parent and patient partners,parent and patient partners,Unknown
Rnan,We collaborate with a wide range of local,Regularly (once a week or more),we collaborate with a wide range of local,We collaborate with a wide range of local,Regularly
Rnan,Provincial,Regularly (once a week or more),provincial,Provincial,Regularly
Rnan,and Federal organizations and governments.  I‚Äôm not sure how to list our top 3,Regularly (once a week or more),and federal organizations and governments iäôm not sure how to list our top 3,and Federal organizations and governments.  I‚Äôm not sure how to list our top 3,Regularly
Rnan,Holland bloorview,Regularly (once a week or more),holland bloorview,Holland bloorview,Regularly
