resp_id,language,connection_type,issues,partners_raw,freq1,freq2,freq3,partners_linked,connection_category,issue_category,primary_connection,primary_issue
R66,EN,I’m a family member of a person with a disability;Provides parents with information;,"housing, supportive living","families in the community with adult with ASD that I know.
Partners for Planning
Ottawa Autism group that is trying to collect # and types of needs

",Regularly (once a week or more),Occasionally (a few times a month),Seldom (once a month or less)  ,No,Person with Disability;Family/Caregiver,Housing,Person with Disability,Housing
R67,EN,I’m a person with a disability;,"Employment, and also Alberta elimination of my current Assured Income for the Severely Disabled also known as AISH and the introduction of ADAP for which I cannot seem to remember the name for at present.",I have been disabled from a motor vehicle accident for 28 years and have used so many advocates here in Alberta but all provincial groups have been disbanded in the last year or so.  I now rely on information that is given by joining on line Facebook platforms called 'ARC' and ARG.  plus a few from the UK which is somewhat similar to Canada.  I also have travelled to the UK and met others in the disability community as friends.,Regularly (once a week or more),Occasionally (a few times a month),Regularly (once a week or more),Yes,Person with Disability,Employment;Poverty/Income,Person with Disability,Employment
R68,EN,I’m a family member of a person with a disability;,"- caregiver support
- pediatric rare disease
- pediatric complex care
- school transitions for children with disabilities
- digital health tools","1. Canadian Centre for Caregiving Excellence
2. Canadian Organization for Rare Disorders 
3. Ontario Caregiver Coalition",Occasionally (a few times a month),Occasionally (a few times a month),Seldom (once a month or less)  ,Yes,Person with Disability;Family/Caregiver,Children/Youth;Health;Education,Person with Disability,Children/Youth
R69,EN,I’m a person with a disability;,"Indigenous disability rights; accessibility for homes, businesses, and government organizations; advocate for supports over Medical Assistance in Dying (MAID)","1. Disability Without Poverty
2. Disability Filibuster
3. L'Arche 
",Seldom (once a month or less)  ,,Seldom (once a month or less)  ,No,Person with Disability,Housing;Accessibility/Inclusion;Indigenous;Rights/Policy,Person with Disability,Housing
R70,EN,I’m a person with a disability;I’m a family member of a person with a disability;,Complex care and disability for children ,"Bc disability 
Canuck place 
Ubc",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Occasionally (a few times a month),Yes,Person with Disability;Family/Caregiver,Children/Youth,Person with Disability,Children/Youth
R71,EN,I’m a family member of a person with a disability;,Supports and funding for children.,"BC Complex Kids, local therapists",Seldom (once a month or less)  ,Seldom (once a month or less)  ,Seldom (once a month or less)  ,No,Person with Disability;Family/Caregiver,Children/Youth,Person with Disability,Children/Youth
R72,EN,I’m a person with a disability;I’m a family member of a person with a disability;,"Advocating for myself and my children, mainly in regards to accessablity in employment and education",,,,,,Person with Disability;Family/Caregiver,Employment;Children/Youth;Education;Accessibility/Inclusion,Person with Disability,Employment
R73,EN,"I’m a person with a disability;I’m a researcher;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);",Employment for folks with developmental disabilities; Indigenous Disability Rights; disability justice as they pertain to policy and practice; inclusive housing,"Inclusion Canada
Inclusion BC
BC Employment Network",Regularly (once a week or more),Regularly (once a week or more),Regularly (once a week or more),Yes,Person with Disability;Advocate/CSO;Researcher,Employment;Health;Housing;Accessibility/Inclusion;Indigenous;Rights/Policy,Person with Disability,Employment
R74,EN,"I’m a family member of a person with a disability;I work in recreation and/or leisure;I’m an advocate (for example, someone working at a civil society organization or organization of persons with disabilities);","supports for children, inclusive playgrounds, adapted sports",BC Complex Kids Society,Occasionally (a few times a month),,,,Person with Disability;Family/Caregiver;Advocate/CSO;Leisure,Children/Youth;Accessibility/Inclusion,Person with Disability,Children/Youth
R75,EN,I’m a family member of a person with a disability;I work in the education field;I work in recreation and/or leisure;,equal rights in recreation and education,,,,,,Person with Disability;Family/Caregiver;Education;Leisure,Education;Rights/Policy,Person with Disability,Education
